id,time,test_loss,epochs,accuracy,depth,dense_neurons,init_filters,use_batchnorm,dropout,batch_size,max_epochs,learning_rate,beta1,beta2
0,1587492832.4924955,3.3590999431610107,10,0.26325,3,128,32,True,0.2,32,10,0.001,0.9,0.999
1,1587492977.3263874,4.605170249938965,10,0.00825,3,128,32,True,0.2,32,10,0.005,0.9,0.9990000000000001
2,1587493045.5692232,4.006524648666382,10,0.139,3,128,32,True,0.2,128,10,0.005,0.9,0.999
3,1587493111.1735027,3.0001787033081047,10,0.29225,3,128,32,True,0.2,128,10,0.0025,0.9,0.9990000000000001
4,1587493193.1969721,2.99155676651001,10,0.28775,3,128,32,True,0.2,128,10,0.0025,0.7,0.999
5,1587493287.7624998,3.1176115550994874,10,0.28275,3,128,32,True,0.2,128,10,0.0025,0.6,0.9990000000000001
6,1587493355.7781627,3.1340985641479486,10,0.2625,3,128,32,True,0.2,128,10,0.0025,0.65,0.999
7,1587493428.4055169,2.9424378547668457,10,0.29225,3,128,32,True,0.2,128,10,0.0025,0.75,0.9990000000000001
8,1587493527.9273846,4.131888523101806,10,0.134,3,128,32,True,0.2,128,10,0.0025,0.75,0.9
9,1587493690.2434785,2.5206754970550542,30,0.40125,3,128,32,True,0.2,128,30,0.0025,0.75,0.9990000000000001
10,1587493871.6884322,2.4507354211807253,30,0.3915,3,128,32,True,0.3,128,30,0.0025,0.75,0.999
11,1587494089.3271716,2.505127206802368,30,0.3605,3,128,32,True,0.4,128,30,0.0025,0.75,0.9990000000000001
12,1587494264.101912,2.554109650611877,30,0.38,3,256,32,True,0.4,128,30,0.0025,0.75,0.999
13,1587494544.1063018,3.3685412425994867,30,0.23925,3,128,64,True,0.4,128,30,0.0025,0.75,0.9990000000000001
14,1587494682.5713005,2.596085214614868,30,0.3525,3,128,24,True,0.4,128,30,0.0025,0.75,0.999
15,1587494779.5610454,2.3784570560455323,30,0.3965,3,128,16,True,0.4,128,30,0.0025,0.75,0.9990000000000001
16,1587494855.9312885,3.5725383567810063,30,0.245,3,128,16,False,0.4,128,30,0.0025,0.75,0.999
17,1587494964.8488257,3.1181166629791264,30,0.2835,2,128,16,True,0.4,128,30,0.0025,0.75,0.9990000000000001
18,1587495088.3165102,3.9765506019592287,30,0.1525,2,128,32,True,0.4,128,30,0.0025,0.75,0.999
19,1587495302.7639606,2.3998473148345947,57,0.40875,3,128,16,True,0.4,128,100,0.0025,0.75,0.9990000000000001
20,1587495543.1112056,2.444437702178955,80,0.3885,3,128,16,True,0.5,128,100,0.0025,0.75,0.999
21,1587495764.9379654,2.3055723295211794,57,0.40625,3,128,16,True,0.4,128,100,0.0025,0.75,0.9990000000000001
22,1587495970.9163246,2.360520106315613,60,0.413,3,148,16,True,0.4,128,100,0.0025,0.75,0.999
