id,time,test_loss,epochs,accuracy,depth,dense_neurons,init_filters,use_batchnorm,dropout,batch_size,learning_rate,beta1,beta2,max_epochs
1,1587588101.2424593,4.605483810424805,11,0.00875,3,149,30,False,0.3950430766759904,512,0.0077016171909706265,0.549573143183546,0.9671809071128562,100
2,1587588198.3637273,2.804928050994873,58,0.307,2,145,22,False,0.5298623134773617,1024,0.005429462946026449,0.5257866907765286,0.9742774252361333,100
3,1587588284.5880387,3.164613079071045,57,0.29275,2,146,17,False,0.5215881391603158,1024,0.006333691324673064,0.5317726237449252,0.9597681347760759,100
4,1587588370.7444935,3.0973280906677245,46,0.2935,2,161,25,False,0.4806180539766153,512,0.0060231279984011106,0.47422898310276096,0.9901395063042638,100
5,1587588438.2090454,3.141611030578613,50,0.27025,2,100,14,False,0.3532796847884849,1024,0.00797130574397921,0.5256597274354116,0.9543554234918342,100
6,1587588530.621743,2.9144180812835687,60,0.295,2,101,9,True,0.4319896366774954,512,0.007417205730949309,0.4626695473370289,0.9968534112321502,100
7,1587588825.8948207,3.4347375411987304,73,0.27175,3,129,31,True,0.3674941911107008,512,0.009868164061570643,0.4539472332248118,0.9907487805572932,100
8,1587588919.1670554,3.1032915897369384,67,0.287,2,137,13,False,0.4501641501117649,512,0.005272186324535943,0.5431081586641289,0.9912955792827012,100
9,1587588960.8667753,4.605493270874024,14,0.00875,3,148,27,False,0.4709711776028489,512,0.00888288223182427,0.5296230036316458,0.9743165439908664,100
10,1587589198.5626733,2.4485462951660155,59,0.39725,3,122,30,True,0.3765961868387818,1024,0.005922804770766687,0.5087883562861678,0.960493974398767,100
11,1587589233.831112,4.480374465942383,13,0.0385,2,142,26,False,0.4005967129194418,1024,0.008639360501254342,0.5260447446994081,0.994442804364594,100
12,1587589388.9818928,2.5266313095092774,73,0.358,3,129,11,True,0.5181635463495876,1024,0.008413990296507133,0.5287730686935768,0.9748287386593399,100
13,1587589699.3700113,2.44945791053772,100,0.4005,3,133,20,True,0.531045184198065,512,0.005291115277477337,0.5209166565145118,0.9854384299732192,100
14,1587589814.0966651,4.5192491111755375,38,0.027000000000000003,2,112,22,True,0.4250968084714847,512,0.00965033491425649,0.4808530262923725,0.993261133412489,100
15,1587589854.4013672,4.6052061996459965,14,0.00875,3,120,15,False,0.5452035218318794,512,0.009247633439860192,0.5321559177398442,0.9939944737504472,100
16,1587589989.7136743,2.545806860923767,58,0.36275,3,132,10,True,0.3677954071702689,512,0.007347840458920795,0.4500281085631585,0.9870084767302446,100
17,1587590176.312963,3.4063355541229248,100,0.2245,3,106,14,False,0.4239606167563186,512,0.005682985121992692,0.4769406168312621,0.9966572677472608,100
18,1587590503.5519915,3.364282808303833,89,0.29275,3,145,24,True,0.491931119723906,512,0.008700224324978668,0.5127745881871797,0.9635671398277028,100
19,1587590621.8226116,3.904528429031372,59,0.1665,3,134,13,False,0.4892968830374832,1024,0.009000971423808568,0.5316120328384877,0.9687012943512908,100
20,1587590722.6390793,3.336790855407715,40,0.272,2,105,21,False,0.47502521554212895,512,0.0053939999401016285,0.5451408757952882,0.9721273035595728,100
