id,time,test_loss,epochs,accuracy,depth,dense_neurons,init_filters,use_batchnorm,dropout,batch_size,learning_rate,beta1,beta2,max_epochs
1,1587577986.5969267,2.7826374073028566,82,0.33825,3,104,11,True,0.4004341738414228,512,0.006817220838466944,0.4808706030953737,0.9522805546661072,100
2,1587578025.314274,4.6051723022460935,18,0.00975,2,120,29,False,0.3770208472227698,1024,0.009901510593258462,0.5086068753399526,0.984303244035371,100
3,1587578101.9504454,3.210720645904541,49,0.2485,2,119,17,False,0.3629121961872579,1024,0.008883815732667208,0.4645430274412551,0.9560026202020588,100
4,1587578190.1809654,4.200531084060669,55,0.13475,2,106,18,False,0.463222515667591,512,0.008577700782693279,0.4833227922702199,0.9835940830308868,100
5,1587578236.5954232,4.254156204223634,20,0.0705,2,114,31,False,0.4055989558675348,1024,0.008217636761056794,0.5025140688299796,0.9964385980173396,100
6,1587578485.9104517,2.5389044198989867,70,0.388,3,152,28,True,0.4001505436335177,1024,0.009974264173525387,0.4686888985197663,0.958778292856722,100
7,1587578683.531624,2.3824555797576905,72,0.3995,3,146,18,True,0.4843652287049419,1024,0.009010902054055128,0.5235268265753691,0.9939454646478718,100
8,1587578723.0212545,4.60533390045166,13,0.008,3,150,28,False,0.4287739535728588,512,0.00883192102267118,0.5286988268200332,0.9737487385099198,100
9,1587578767.361136,4.600192459106445,13,0.011000000000000001,3,151,30,False,0.5239118662335549,1024,0.008537992643374967,0.4739390564929572,0.9915653800803299,100
10,1587578785.2532015,4.605245334625244,4,0.00925,3,108,16,False,0.5400664107904478,512,0.008662662618058644,0.4776020321973318,0.9617129483063912,100
11,1587578949.1730392,3.325434265136719,75,0.2465,2,133,16,True,0.44835935074301225,1024,0.007185858257800595,0.4707633745458311,0.9823106475141918,100
12,1587579135.2772298,2.5829827976226807,64,0.37,3,161,17,True,0.4304309910948146,512,0.0067405481204370465,0.5116925077486041,0.9640829078378098,100
13,1587579217.0638008,3.611363451004028,53,0.2145,2,150,9,False,0.4704220674010824,512,0.008280670654209843,0.5057523045837117,0.992126598258936,100
14,1587579239.2731645,4.560952732086181,4,0.02025,3,119,8,False,0.3568140200446749,512,0.007892173957907317,0.4848932026653887,0.9947481605580422,100
15,1587579534.274233,3.5257302417755128,100,0.226,2,153,25,True,0.4137918908338804,1024,0.00550393020452429,0.4695095040685297,0.992614466387216,100
16,1587579673.0912313,2.5695076379776003,64,0.35700000000000004,3,156,8,True,0.5366296450108227,512,0.006716547275146624,0.5369663718578369,0.9834572360180992,100
17,1587579866.2448485,3.1343627090454103,78,0.2775,2,116,30,False,0.4593744918577729,1024,0.007368419069924842,0.5105726178713897,0.9666800697537702,100
18,1587579901.2878346,4.605145183563232,4,0.01025,2,102,25,True,0.5497739267081665,1024,0.008161802224500001,0.4520204649139243,0.9530869534299556,100
19,1587580043.0077875,3.6009126453399665,73,0.23825,3,162,13,False,0.3723508967504908,1024,0.006969046187696098,0.5338731248854949,0.9669517201632424,100
20,1587580095.1552818,4.605170249938965,18,0.00825,3,111,8,False,0.5409824453563584,512,0.00926832227076526,0.5390563764733417,0.9995364564765108,100
21,1587580129.3921368,4.599807510375976,4,0.01175,3,128,14,False,0.536253387296046,1024,0.0062580175750393905,0.464384516965855,0.9845641641031267,100
22,1587580330.4351118,2.3966383028030402,61,0.387,3,152,17,True,0.5322532941036608,1024,0.007232684063658691,0.5036194567576554,0.993212530082176,100
23,1587580573.8571322,2.399136159896852,56,0.39075,3,151,26,True,0.42799775357605424,1024,0.009721983042099484,0.509586337624394,0.984278690444423,100
24,1587580729.2365868,3.9392142944335937,77,0.1825,3,100,10,False,0.4567233201256021,512,0.0065189643120786255,0.4767410627941159,0.9690344560673458,100
25,1587580886.4504454,3.4949288997650148,68,0.23775,2,101,9,True,0.3813390491561134,512,0.006736242847223248,0.5420169601145776,0.9689512492156014,100
26,1587581041.1889033,2.5211484270095825,53,0.36425,3,161,10,True,0.5013624197062975,1024,0.0066944522518709365,0.4797801574041847,0.9744240068479642,100
27,1587581087.4406126,4.462503150939941,4,0.06025,2,128,25,False,0.4539825005559173,512,0.008538208923971098,0.5165932307267864,0.9960911860460347,100
28,1587581164.4696336,4.582889686584473,17,0.01725,2,162,14,True,0.4038417738534571,1024,0.00619802252639525,0.4746937925958601,0.9910051746859492,100
29,1587581279.2057786,3.694915100097656,41,0.22325,2,139,16,False,0.4549876891717615,512,0.006993460322942067,0.4827592452974067,0.9614804880142652,100
30,1587581496.574016,2.3323738679885864,49,0.39325,3,162,22,True,0.4501032057045431,1024,0.006977487655912209,0.5414859359880186,0.981214708732534,100
31,1587581766.775578,3.3291942081451418,89,0.24525,2,142,18,True,0.4884641447070711,1024,0.0077911260689143185,0.4758062684204847,0.9918112014747248,100
32,1587581818.3034954,4.442439212799072,4,0.039,2,104,19,False,0.4967479786794503,1024,0.006491142429086573,0.4675654899437247,0.9841751565948408,100
33,1587582087.8643072,2.5815320472717285,81,0.3735,3,101,16,True,0.5452015504464726,1024,0.00826514466673894,0.4844484944528315,0.9752004918471971,100
34,1587582567.3761024,3.5713168277740484,100,0.2415,3,127,30,True,0.535233090117641,1024,0.00871288157080525,0.5150891194744532,0.9525705670445864,100
35,1587582659.9189918,4.553986400604248,14,0.03,3,102,13,True,0.3953348143231917,1024,0.005126979203644571,0.5435081103564671,0.9564567248231712,100
36,1587582821.3911793,3.306327766418457,44,0.26475,2,150,26,False,0.3804586869891716,512,0.006116981494513972,0.4901181647446001,0.9840449748385424,100
37,1587582991.978413,3.2683396892547614,44,0.2785,2,155,29,False,0.5176765203602804,512,0.0051960900228245465,0.4545874154821911,0.969197398729082,100
38,1587583182.9080305,2.4646657094955446,52,0.36475,3,145,12,True,0.5139782266858623,1024,0.008557610234227606,0.4894604089165882,0.9874813793449568,100
39,1587583442.3138225,3.941826133728026,86,0.18,2,113,13,True,0.4388172110346928,512,0.005175846454570842,0.4556591147371055,0.9542675335546664,100
40,1587583535.0799356,4.605325084686278,13,0.00925,3,111,18,False,0.3734938288846891,512,0.009723183709680193,0.5233858178333537,0.9503629675391292,100
41,1587583682.4799685,3.459685609817505,38,0.23225,2,132,20,False,0.3727057821836711,512,0.007517597851933778,0.5228536059379166,0.9899716339845772,100
42,1587583807.928623,4.605170249938965,21,0.00825,3,105,28,False,0.3656779599029856,512,0.009989467107111108,0.5038285458706402,0.9580278206360026,100
43,1587583890.2006085,4.604274066925049,11,0.00625,2,147,16,False,0.3602480868161785,1024,0.009732243869738984,0.4573681150070669,0.9675558250860808,100
44,1587583972.9019275,4.603716945648193,4,0.01575,2,156,31,True,0.5340497437121597,1024,0.005715618060972743,0.4605992585341157,0.9928293172574356,100
45,1587584051.387823,4.5985454902648915,4,0.00725,3,118,20,False,0.44951657734686457,1024,0.00629320627706811,0.5052912488950345,0.989983998976894,100
46,1587584230.5382473,3.1651517486572267,44,0.27075,2,103,26,False,0.4352875985908939,512,0.005408063101254391,0.5050530640810768,0.9652951126448136,100
47,1587584708.5405154,2.918634376525879,100,0.33799999999999997,3,118,26,True,0.5181583648142929,1024,0.009628959725323358,0.4806316774847706,0.9781236676023124,100
48,1587584859.931375,3.649199563980104,44,0.217,2,154,8,False,0.3677926582491096,512,0.007790838869794045,0.4920262660145843,0.9915630534454672,100
49,1587585032.5439758,3.3518872356414797,40,0.2595,2,106,23,False,0.38041350072595786,512,0.005932603622771912,0.5115087895685715,0.983393829814086,100
50,1587585386.5826516,2.4739289560317994,67,0.392,3,120,26,True,0.4295250709061137,1024,0.0076830028556197656,0.5274063898162346,0.9768263603719018,100
