id,time,test_loss,epochs,accuracy,depth,dense_neurons,init_filters,use_batchnorm,dropout,batch_size,learning_rate,beta1,beta2,max_epochs
1,1587562384.6861086,4.605170249938965,11,0.00825,2,216,45,True,0.31534459176174023,16,0.03677379782313382,0.8308487189278508,0.9184365855387578,100
2,1587562504.2575095,4.605170249938965,11,0.00825,2,214,55,True,0.4429772022933517,16,0.03926386281037703,0.5949471287357193,0.8461549609818878,100
3,1587562530.825469,4.605170249938965,11,0.00825,3,222,11,True,0.2178367511365738,512,0.046149390536406085,0.6324228078958157,0.921599133819608,100
4,1587562587.4188304,4.605170249938965,11,0.00825,2,148,59,False,0.05470593244540341,64,0.03155695183477169,0.9070886068597908,0.9067445379855742,100
5,1587562638.245262,4.600409294128418,13,0.01375,2,197,51,False,0.3993327303394782,1024,0.031735730942786165,0.7293781840875406,0.812066105801715,100
6,1587562691.9268992,4.605170249938965,11,0.00825,2,191,40,True,0.29151410930905697,256,0.04096939202316064,0.5412075212313435,0.9129622062695189,100
7,1587562775.0056179,4.605170249938965,11,0.00825,2,163,26,True,0.4486745618547616,16,0.020689790676978227,0.9830778595889064,0.9051747796440776,100
8,1587562860.7564895,4.605170249938965,11,0.00825,3,236,38,False,0.4724568470807887,16,0.0486166855747628,0.9420906330710932,0.8246628346818998,100
9,1587562904.75225,4.6052078399658205,20,0.00925,2,102,19,False,0.22322844772757602,1024,0.016195906069908474,0.9847709698730572,0.9125018416527648,100
10,1587562950.5894992,4.603128559112549,13,0.01525,2,151,39,False,0.1796409899971631,1024,0.03267291938268286,0.7818326686906352,0.804968873095011,100
11,1587563057.2966044,4.605170249938965,11,0.00825,3,145,57,True,0.436306863072768,64,0.03409019740998464,0.7800249265941248,0.9657648008062136,100
12,1587563219.6826859,4.380062900543213,58,0.07400000000000001,3,190,30,False,0.36542144097973467,1024,0.011108501893150796,0.947560637364686,0.8120534892150727,100
13,1587563272.2156913,4.605170249938965,16,0.00825,3,74,28,False,0.2010814221074032,512,0.012654048508169669,0.7949272306919632,0.8288008902377622,100
14,1587563318.0439706,4.605170249938965,11,0.00825,2,141,13,True,0.5252110174755573,64,0.01525761468150226,0.966044538440139,0.8635699927952436,100
15,1587563391.579427,4.605170249938965,15,0.00825,2,95,60,False,0.1498950034464442,512,0.01986282745472497,0.8850700519943527,0.9187153664937976,100
16,1587563446.6149464,4.605170249938965,13,0.00825,2,101,42,False,0.2857749405354665,256,0.01847978976416774,0.7850612093619861,0.8658116701414637,100
17,1587563618.7046824,4.605170249938965,25,0.00825,2,153,61,True,0.14785830569497188,512,0.010995527383118849,0.7220286444299714,0.9590125576462759,100
18,1587563678.8740695,4.605170249938965,11,0.00825,3,98,36,False,0.1473551471524075,128,0.020411117781916958,0.7546387600208433,0.926750709569938,100
19,1587563755.4219975,3.5274719486236568,42,0.243,2,90,11,False,0.10891407543488103,1024,0.005802429732527828,0.7879389693280252,0.8393068547418648,100
20,1587563806.49909,4.605257110595703,12,0.00875,2,241,17,True,0.053452491662296944,512,0.030718637018624127,0.8385930691632213,0.9782106150900594,100
21,1587563901.7609105,4.603952400207518,12,0.00875,2,107,46,True,0.3304516894920089,64,0.002336416267581609,0.747082712996479,0.8798871627695496,100
22,1587563983.3256867,4.605170249938965,11,0.00825,2,250,34,True,0.06087755321088779,64,0.030704724710619462,0.5921681805159624,0.9162523168446652,100
23,1587564043.4373085,4.605170249938965,11,0.00825,2,135,21,True,0.5196346218348981,128,0.04813361743274605,0.9820583006515312,0.9628877685143724,100
24,1587564180.8115704,4.605170249938965,11,0.00825,2,190,40,True,0.4141406368523984,16,0.014575714653016056,0.9681008810244676,0.9754424044995288,100
25,1587564242.6652539,4.605170249938965,11,0.00825,2,70,12,True,0.19132210380506026,64,0.048678171787980284,0.5298772438973698,0.9465392548791506,100
26,1587564300.3239162,4.605170249938965,11,0.00825,2,193,12,True,0.09970358886011084,128,0.032551649793403886,0.8661832946000441,0.9366200291941504,100
27,1587564369.781716,4.605363746643066,13,0.00875,2,168,37,False,0.19632682679272656,1024,0.029990364674690483,0.5276111091926841,0.8243372442334947,100
28,1587564434.0751505,4.605285091400146,11,0.00875,2,119,35,False,0.44577746554467934,256,0.031344968263680925,0.7430350421303977,0.8140507945999881,100
29,1587564663.046167,4.341544597625733,77,0.09275,3,233,25,False,0.42817199195204186,512,0.005523112827871591,0.9413630381322896,0.8322115354925717,100
30,1587564750.3792682,4.605170249938965,11,0.00825,2,227,29,True,0.4942706747278371,64,0.020688994700707453,0.721180935138827,0.8048669426446401,100
31,1587564930.9166615,4.605170249938965,11,0.00825,2,246,56,True,0.4894240943574401,16,0.011912616102258874,0.9336972566843134,0.8473732305841324,100
32,1587565059.4259398,4.594923980712892,12,0.0125,3,174,51,True,0.16540220928894772,512,0.003754685854309385,0.9909425160068986,0.9143163530972392,100
33,1587565194.9653115,4.605170249938965,11,0.00825,2,65,52,False,0.4604244881100367,16,0.0488955613908656,0.8564165810593485,0.9515916563990636,100
34,1587565293.6473198,4.605170249938965,11,0.00825,3,176,32,True,0.1813907633693212,256,0.02325377814132612,0.7358541949139281,0.9407311619834215,100
35,1587565403.336643,4.605170249938965,11,0.00825,3,249,51,False,0.1274836336044191,64,0.04118268506818951,0.6789154350469421,0.9282818588953741,100
36,1587565564.3969984,4.605170249938965,11,0.00825,3,130,19,True,0.34651700486501497,16,0.0426692735142062,0.9275322108450792,0.9921247445238816,100
37,1587565720.4219332,4.605170249938965,11,0.00825,2,158,49,False,0.4949674765296895,16,0.02636500258993117,0.9880192911885072,0.999629545385648,100
38,1587565865.1751022,4.573211753845215,11,0.03075,3,131,58,True,0.29287934220659617,512,0.0019782144267412524,0.7680186238486728,0.8893685191298218,100
